Energy Loss	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity
-0.9976	256.7386	1345.6958	712.9456	425.1288	991.7219	351.9982	1069.9051	682.418	781.0029	1166.0887
-0.9888	166.8359	1084.9198	329.9978	1494.3718	639.4913	0	762.3806	575.9012	672.0623	1185.1905
-0.98	1136.8385	1021.9763	471.8399	1801.7886	951.8834	0	346.5957	570.9374	0	1020.1974
-0.9712	1254.8521	769.849	174.5106	1230.7432	746.4025	378.8063	429.929	371.6308	835.2566	24.0661
-0.9624	992.3883	879.9956	1668.0578	453.4641	389.8022	893.6322	1022.0964	148.2693	876.4762	443.134
-0.9536	650.833	2372.3087	974.0371	686.157	945.3808	689.6924	433.7821	1123.4999	1062.254	1089.1873
-0.9448	556.7619	2170.0441	808.9294	1116.0364	549.1026	0	515.0218	1195.5089	1645.8835	1547.5827
-0.936	249.2219	1025.0146	1125.8036	1342.4237	1177.8662	274.6711	981.5156	887.3917	1188.0803	569.6528
-0.9272	889.1531	579.8559	626.7292	992.3928	1040.4428	384.3899	539.7058	1291.6664	1561.0953	1077.8426
-0.9184	350.0061	866.5313	497.6428	573.5834	1259.7992	0	1514.3539	637.061	1542.795	871.9722
-0.9096	0	496.6167	133.0543	532.4595	635.6193	375.6145	1376.7334	1522.9465	937.3067	1302.0976
-0.9007	569.2032	648.432	660.9789	1579.8726	0	1394.5787	876.4472	1195.5436	814.9783	1446.617
-0.8919	895.5129	757.7101	163.9181	363.9859	224.455	1340.3553	1005.729	667.8388	890.4512	1515.502
-0.8831	1183.1475	1076.9819	399.8985	523.2016	987.8296	614.7387	651.2762	1454.6519	244.6331	1550.9136
-0.8743	1714.9298	1388.6958	672.6457	797.3398	666.4502	1543.9568	1238.8774	836.4978	1271.4954	927.0568
-0.8655	1305.6995	767.5511	0	137.6695	415.0476	1775.9391	1291.1656	429.4303	751.7981	843.787
-0.8567	1124.9896	977.9147	0	363.1453	656.4823	1500.1343	186.1267	1422.9639	45.3602	1830.2203
-0.8479	134.358	865.1519	138.7981	746.3397	987.9847	778.5861	548.4876	801.2474	391.5226	1255.144
-0.8391	1018.5293	823.6422	444.6922	873.3001	492.8304	854.6254	917.4635	66.5385	733.0564	442.5739
-0.8303	861.6514	1329.2908	1026.3554	760.5729	715.9709	1079.4137	247.7441	477.1295	758.3919	350.6412
-0.8215	1440.7415	595.5607	357.7097	835.7341	414.8228	1295.8614	385.5632	815.5239	828.2282	0
-0.8127	995.9511	229.1618	692.1466	271.9732	861.2413	1296.088	917.8295	1254.589	959.5394	441.7128
-0.8039	225.7839	898.2374	1205.8159	116.1493	1375.9208	1013.6264	719.3038	271.4152	976.3775	410.9295
-0.7951	812.6053	450.5825	751.4997	0	1233.0072	1202.4646	261.5917	811.0874	842.8144	270.2069
-0.7863	575.3608	584.8247	636.4045	0	724.5659	600.8425	1205.306	772.8452	746.329	688.6089
-0.7775	1236.6422	391.7998	972.542	780.461	311.606	1601.7216	800.9597	435.0496	1065.7261	1067.9602
-0.7687	1453.715	590.9881	1185.8977	903.2127	815.2406	1692.5087	823.4465	346.2911	1040.7527	1294.7065
-0.7599	1893.4626	889.4095	2049.2861	1585.5267	653.9287	1107.1953	676.9807	0	668.3811	2081.9852
-0.7511	1058.714	793.6529	3798.9074	729.9904	911.3805	314.0662	892.8378	409.9366	158.1596	1019.4613
-0.7423	616.3608	877.0879	1865.0787	1451.8261	917.4721	45.2593	43.6727	1368.4549	0	1087.779
-0.7335	864.8611	874.7925	1921.7091	411.2412	849.3055	280.4838	625.1871	1039.2192	612.0204	887.3324
-0.7247	651.8336	1122.7277	1775.762	0	1059.8571	1753.8459	1011.0127	750.1653	61.9601	146.4662
-0.7159	257.733	1354.4858	1249.2917	604.5955	2970.4621	1952.1122	920.8527	1334.2997	336.0464	230.1068
-0.7071	0	990.7962	2060.1124	1353.0189	5264.6748	671.5787	518.2439	1618.883	453.5507	311.2004
-0.6983	113.6111	599.3257	1197.457	747.1243	2559.6456	858.9404	1195.8571	1229.7978	503.3893	398.6025
-0.6895	1305.6133	61.2492	963.5902	1731.6232	1021.2547	1912.9277	1178.5709	1105.3107	1074.0122	903.4222
-0.6807	1168.1151	163.6335	1101.1204	1917.501	670.3988	1505.4697	1305.8722	1131.8207	763.219	639.3381
-0.6719	1339.866	396.815	107.0818	1756.7909	222.0922	1277.6272	1333.8999	1283.5594	1007.6063	348.0149
-0.6631	1032.6807	727.6407	952.0488	664.9979	76.2627	1423.6733	900.0137	1744.1952	508.7627	1037.1544
-0.6543	967.1379	576.3551	528.7612	1026.9672	240.017	1513.9064	937.3365	1394.0462	709.4365	1641.1588
-0.6455	588.1373	753.8374	0	966.043	811.9197	1708.6389	1184.343	1751.2403	1064.4427	1428.0268
-0.6367	347.9687	1129.1859	360.5423	711.1222	792.3808	1128.3802	1387.2265	1514.9801	924.4065	1033.57
-0.6279	872.0496	482.7949	415.7726	0	467.1584	1595.2027	1032.0071	1142.5871	667.0382	1468.0993
-0.6191	1226.1908	1345.0685	1010.6054	1156.6391	74.5178	1094.5226	653.2539	248.8784	1362.9985	1209.6897
-0.6103	742.7964	1977.9704	951.7735	628.1461	0	98.5099	1164.2475	377.1908	885.9403	1040.074
-0.6015	333.3643	1346.5082	1026.951	1009.5664	184.0859	447.5886	617.6333	253.348	841.4535	1044.5032
-0.5927	741.7854	861.6711	497.1507	1166.2766	286.3878	503.5812	1196.69	902.7374	1470.9125	1091.0341
-0.5839	366.5269	702.1795	804.4598	945.6227	1239.9918	0	1055.4996	767.2779	1047.4105	753.7016
-0.575	0	669.8493	253.5912	838.0763	305.4943	436.1706	697.6254	29.5988	480.664	525.9685
-0.5662	0	364.7177	894.4219	944.5474	145.8977	753.3193	762.3597	174.6655	578.7933	551.7808
-0.5574	808.0562	349.1542	41.8466	550.1677	817.2338	634.0344	1028.5372	456.9561	0	148.9978
-0.5486	349.9295	416.4342	306.5834	567.8157	1124.375	404.8458	778.5023	206.4585	306.4765	95.7972
-0.5398	109.1338	1515.116	423.2617	813.3093	1462.8129	542.5075	812.9028	66.9708	782.3845	0
-0.531	208.4649	1462.9639	677.4424	459.4157	718.41	833.9234	1411.6127	462.2345	1048.0367	0
-0.5222	0	1127.5343	1245.5526	1417.853	0	1614.0501	1024.8009	0	947.2667	386.3233
-0.5134	71.8246	2078.4008	1127.9477	1368.3713	214.7439	343.8936	833.9826	666.4452	806.1163	127.5754
